Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status,Observation
E01011264,Leeds 011A,Does not apply,179
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Employee: Part-time,136
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Employee: Full-time,351
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,5
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,42
E01011264,Leeds 011A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,38
E01011264,Leeds 011A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,22
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Employee: Part-time,6
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011264,Leeds 011A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011264,Leeds 011A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01011264,Leeds 011A,Economically active and a full-time student,15
E01011264,Leeds 011A,Economically inactive: Retired,367
E01011264,Leeds 011A,Economically inactive: Student,32
E01011264,Leeds 011A,Economically inactive: Looking after home or family,24
E01011264,Leeds 011A,Economically inactive: Long-term sick or disabled,41
E01011264,Leeds 011A,Economically inactive: Other,30
E01011265,Leeds 009A,Does not apply,354
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Employee: Part-time,160
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Employee: Full-time,658
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,16
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,44
E01011265,Leeds 009A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,61
E01011265,Leeds 009A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Employee: Part-time,9
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011265,Leeds 009A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011265,Leeds 009A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011265,Leeds 009A,Economically active and a full-time student,18
E01011265,Leeds 009A,Economically inactive: Retired,414
E01011265,Leeds 009A,Economically inactive: Student,66
E01011265,Leeds 009A,Economically inactive: Looking after home or family,47
E01011265,Leeds 009A,Economically inactive: Long-term sick or disabled,60
E01011265,Leeds 009A,Economically inactive: Other,21
E01011266,Leeds 008A,Does not apply,504
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Employee: Part-time,263
E01011266,Leeds 008A,Economically active (excluding full-time students): In employment: Employee: Full-time,928
